,t,x,y,z,regime,prob
8880,88.8,-9.128096263862176,-3.7070359950391634,63.30467477967002,1.0,2.2687795650575755e-52
8881,88.81,-8.585990236979875,-3.090246169387574,62.7269171558505,1.0,4.442646734462483e-46
8882,88.82000000000001,-8.036415830220644,-2.6235115479695774,62.11010620417147,1.0,4.3551829153915136e-40
8883,88.83,-7.495125401995537,-2.1984432490695656,61.441823982168536,1.0,5.81661048578276e-35
8884,88.84,-6.96545718670294,-1.8742618444958439,60.7523089278326,1.0,2.0233321960131e-30
8885,88.85000000000001,-6.4563376524822305,-1.7311789879851212,60.08849127008306,1.0,1.6067767212632492e-26
8886,88.86,-5.98382178603252,-1.5753876370198845,59.396298549733224,1.0,2.498942955990343e-23
8887,88.87,-5.542978371131256,-1.4560904457132813,58.697657498964915,1.0,1.4942699136056928e-20
8888,88.88,-5.134289578589459,-1.456017644205095,58.0385792176006,1.0,3.4550814837691584e-18
8889,88.89,-4.766462385151023,-1.482523024793569,57.38790682960763,1.0,2.7149813090203584e-16
8890,88.9,-4.438068449115278,-1.498205258537757,56.72888070960301,1.0,9.585924669341237e-15
8891,88.91,-4.144082130057526,-1.545683622989976,56.08614686659797,1.0,1.8800722779468343e-13
8892,88.92,-3.8842422793507705,-1.6056383926529927,55.45197378638469,1.0,2.0288269945933737e-12
8893,88.93,-3.6563818906809926,-1.687124531135642,54.83455535775199,1.0,1.3528736153850419e-11
8894,88.94,-3.4594561547264577,-1.7502905683708636,54.20786303468359,1.0,5.7680963013255984e-11
8895,88.95,-3.2885395960908985,-1.9060982927654762,53.65526400699803,1.0,1.8853936588649654e-10
8896,88.96000000000001,-3.150295465758356,-1.9451099284175613,53.0182835986538,1.0,3.3804297218256573e-10
8897,88.97,-3.0297769120242766,-2.0363050753380456,52.426472010706505,1.0,7.085903695643594e-10
8898,88.98,-2.9304297283556533,-2.1367916484014247,51.847786943648835,1.0,1.0381757389037519e-09
8899,88.99,-2.8510659203602304,-2.2962539971386993,51.32821872713857,1.0,1.2342573632949402e-09
8900,89.0,-2.7955847280380772,-2.402718568878075,50.76799768953279,1.0,9.633116227766317e-10
8901,89.01,-2.756298112122077,-2.5874761242799433,50.2875892747628,1.0,7.991910879390735e-10
8902,89.02,-2.7394159133378637,-2.7949333281599844,49.837920343194305,1.0,3.954216422355007e-10
8903,89.03,-2.744967654820076,-2.975599175065455,49.37082567105678,1.0,1.4207094678330695e-10
8904,89.04,-2.768030806844614,-3.181308095542417,48.934521707675415,1.0,4.8596624292205023e-11
8905,89.05,-2.809358535714394,-3.4210917318621816,48.537504960316674,1.0,1.2062355336536552e-11
8906,89.06,-2.870531855329173,-3.611891322899061,48.100464250923565,1.0,1.967284598691026e-12
8907,89.07000000000001,-2.944667802086162,-3.8490379850206864,47.711274726846625,1.0,3.633164475919535e-13
8908,89.08,-3.0351048203796145,-4.082758055150473,47.32439844217001,1.0,4.024705753538503e-14
8909,89.09,-3.1398701438567005,-4.287477260507963,46.917320709205775,1.0,3.67163257178865e-15
8910,89.10000000000001,-3.254630855521827,-4.659245950320964,46.657379331857825,1.0,3.4658652447606936e-16
8911,89.11,-3.3950923650017404,-4.982333077167621,46.36519370121191,1.0,5.979848144792129e-18
8912,89.12,-3.5538164362183284,-5.2961907063026255,46.07327650301341,1.0,1.0429899195036262e-19
8913,89.13,-3.728053863226758,-5.701866468120258,45.85892300030455,1.0,1.3750921012864103e-21
8914,89.14,-3.9254351237161083,-6.167260841672684,45.6984589717956,1.0,4.4640989146691886e-24
8915,89.15,-4.149617695511766,-6.624649983182554,45.54644919938182,1.0,3.933591965397532e-27
8916,89.16,-4.397120924278845,-7.07696568748976,45.407871862963205,1.0,1.8521581088751606e-30
8917,89.17,-4.665105400599936,-7.579368992366875,45.319943055469686,1.0,4.545331788629194e-34
8918,89.18,-4.95653175977663,-8.01675020404888,45.22014621546816,1.0,2.541422801622998e-38
8919,89.19,-5.262553604203855,-8.54540499762334,45.198332783093285,1.0,1.6783747977842938e-42
8920,89.2,-5.590838743545804,-9.136269021357215,45.24402931219208,1.0,1.159553191242241e-47
8921,89.21000000000001,-5.945381771326946,-9.749258170562678,45.344060614738886,1.0,9.543565007459936e-54
8922,89.22,-6.325769411250519,-10.281789023249859,45.45954933277351,1.0,1.4991177911865387e-60
8923,89.23,-6.721371372450453,-10.964265848337503,45.69427875403215,1.0,3.281288703123353e-67
8924,89.24,-7.145660820039158,-11.603052896163842,45.98144021551395,1.0,9.490544113736385e-76
8925,89.25,-7.591400027651626,-12.473734131298572,46.432068905769306,1.0,1.4503987453167447e-84
8926,89.26,-8.079633438016321,-13.308549661862994,46.96934872987487,1.0,1.601555044153787e-96
